naslov,mesec,leto,jezik,število besed,komentarji,kudos,bookmarks,hits,napisana poglavja,vsa poglavja,avtor
"You're Not A Horse, Harry!",2,2023,English,51898,1924,15395,4718,333583,38,ni podatka,Maeglin_Yedi
Intimacy,8,2025,English,309884,3301,9066,1895,503271,68,76,xStrawberry_Jams
Another Chance,5,2022,English,57529,3757,25310,8293,621973,46,ni podatka,ProfessorMicroPenis
Roads Untaken,10,2019,English,3008,125,9255,1502,52473,1,1,wynnebat
Harry Potter and the Secrets Within,9,2024,English,248218,1614,8561,2833,257954,20,ni podatka,WhoWroteThis
Spite and Normalcy,5,2022,English,142763,1248,9623,2857,269291,29,29,venus_ink
to see you shift,7,2012,English,11873,224,8447,638,144499,1,1,1electricpirate
Harry Potter at the Knees of the Marauders',5,2016,English,96899,1048,12436,1065,251943,27,27,BakenandEggs
I Know We Can Make It Better Than It Ever Was,7,2023,English,49195,590,8141,2568,197984,33,ni podatka,DreamingDemon
Aphelion,2,2025,English,100744,6022,19739,5611,450868,12,15,TimaeusKosmou
Embracing His True Self,7,2025,English,364634,1875,22700,5509,1281719,59,ni podatka,DebsTheSlytherinSnapeFan
Turn,7,2013,English,306708,2448,20792,9041,1096296,14,14,Saras_Girl
Beyond the Blood Wards ~ Book 1,5,2025,English,501774,3032,11593,3191,711385,106,106,SnapeIsMySpiritQuill
A Perfect Fit,4,2021,English,17993,231,17264,4067,347593,1,1,nothing_left_sacred
Slammed,4,2012,English,2038,263,30655,3528,268624,1,1,Faith Wood (faithwood)
In the Shadow of Your Heart,10,2017,English,51881,804,11275,3108,187600,3,3,lq_traintracks (lumosed_quill)
a life of smoke and silvered glass,7,2017,English,27794,1219,14274,3567,192708,1,1,dirgewithoutmusic
Hell is Your Son-In-Law from Another Dimension,11,2017,English,3498,170,9208,934,107739,1,1,wynnebat
What Souls Are Made Of,3,2022,English,277747,1165,10509,3241,380846,51,51,Emeralds_and_Lilies
Haunted Jaded Eyes,10,2020,English,271172,1616,9263,2782,398692,67,67,DebsTheSlytherinSnapeFan
Recursion,11,2023,English,132526,2368,15259,5191,358866,24,24,Tessa Crowley (tessacrowley)
such a softer sin,2,2016,English,15784,132,8604,1041,87603,1,1,therewascourfeyrac
Expectant,5,2018,English,62460,764,26960,6271,550243,1,1,loveglowsinthedark
That Old Black Magic,9,2019,English,77777,1449,17783,5835,433906,7,7,bixgirl1
Aevumiter,7,2024,English,95591,909,12049,3125,197352,41,41,MarshmalowMilkshake
"Matchmaker, Matchmaker",9,2013,English,11766,368,18147,3130,170336,1,1,firethesound_HP_archive
The Most Powerful Magic Always,9,2019,English,62022,987,11927,2720,281779,24,24,MinnieTex
Love In Slow Motion,10,2015,English,11481,146,14546,1894,170742,1,1,orphan_account
"Balance, Imperfect",4,2017,English,91000,1479,14705,4449,326076,10,10,bixgirl1
Draco Malfoy and the House of Black,8,2020,English,123794,2774,25537,1573,555122,20,20,starbrigid
A Child Avenged,8,2015,English,3263,234,20054,4123,160919,1,1,pandaswearglasses
where there's a will,10,2017,English,7853,504,14212,4594,104291,1,1,aloneintherain
How to get along with your boss (and accidentally seduce him in the process),7,2018,English,13849,266,9668,1865,108933,7,7,silverynight
Relativity.,8,2020,English,18178,578,16332,3871,128608,1,1,Ideasofmarch
"Hermione Granger, Demonologist",10,2017,English,47146,1939,12304,4187,181894,11,11,BrilliantLady
The Eagle's Nest,9,2020,English,292798,5605,22717,8027,1212826,71,71,HeartOfAspen
Ex Nihilo (And Other Feats of An Untrained Veela),2,2020,English,127093,883,13036,3196,367402,29,29,Kandakicksass
Rewritten,10,2017,English,70951,1112,10927,3271,236539,23,ni podatka,goodmorninglove
The Compact,11,2021,English,64099,619,9208,2662,132171,1,1,astolat
Dragonlord,8,2025,English,458289,2703,9267,2677,734219,138,ni podatka,Dragonspectre
Lift Your Open Hand,12,2016,English,18752,338,10454,1912,131985,1,1,firethesound_HP_archive
Chaos Theory,12,2017,English,102712,1767,10730,3694,257157,78,78,Tessa Crowley (tessacrowley)
The Contender,5,2023,English,58875,661,10647,3744,349176,9,9,rubykrishna
Hogwarts Playground,11,2022,English,66481,1773,8511,2283,312842,33,ni podatka,elvirakitties
Again and Again,10,2018,English,334615,1972,13291,5690,632556,44,ni podatka,Athy
Choices,6,2022,English,624451,12632,48050,12331,2794493,56,56,MesserMoon
Serpent's Ascending,2,2022,English,326008,3318,10412,2559,524884,73,73,Madriddler
Edible Smudges and Insufferable Potters (and Insufferable Smudges and Edible Potters),4,2012,English,2217,111,10514,1152,95352,1,1,Faith Wood (faithwood)
A Patchwork Family,12,2024,English,352357,4840,11497,2698,534457,50,50,aspionage
"Game On, Your Move",12,2022,English,74853,2095,14930,3905,298388,17,17,Ailora
Impossible Things,4,2018,English,13952,332,15476,2913,215967,6,6,accioromulus
Détraquée,6,2024,English,728096,6790,9879,5495,1041950,108,108,Hystaracal
Away Childish Things,11,2018,English,153881,6420,56476,18401,1256912,13,13,lettered
All the Wrong Things,4,2019,English,160297,2922,19320,5007,1232046,24,24,LovesBitca8
The Secret Rune,3,2025,English,190670,2800,11146,3208,314441,36,ni podatka,XxXxDarkVampirexXxX
Finest in Fairford,8,2012,English,4997,180,8109,1049,68413,1,1,bluepeony
Show Me,7,2018,English,7355,298,11774,1895,89682,1,1,loveglowsinthedark
Who I Really Am,3,2016,English,8541,87,11142,1168,127266,1,1,agentmoppet
"All I Have, All I Need",12,2021,English,73744,1095,8622,3364,172016,21,ni podatka,Sineluce_Velius_Tristitia
Harry Potter and the Slytherin Ideal,6,2023,English,135979,2776,11533,2862,512867,70,70,PreciousLadyAthena
The White Pawn,2,2022,English,80547,922,10045,2107,201086,27,27,Soupy_George
The Missing Sister,2,2024,English,652974,4302,13030,5110,1130652,75,75,singularritae
Mother May I,12,2016,English,42365,1026,14982,4816,139349,11,11,esama
The Immortal and the Revenant,4,2020,English,153326,2757,9757,2997,252911,43,43,RileyWilliamsJr
