naslov,mesec,leto,jezik,število besed,komentarji,kudos,bookmarks,hits,napisana poglavja,vsa poglavja,avtor
a boy so pretty (such a pity),6,2019,English,5327,151,8700,1901,67824,1,1,asterismal (asterisms)
Genius by the Numbers,11,2020,English,44975,820,10923,2486,147099,7,7,Lomonaaeren
The Medium Between Life and Death,9,2022,English,250915,1643,12171,4666,378450,44,44,NinjaPandaScholar
Sacramentum,3,2025,English,320000,3102,10225,3720,518761,34,34,MyDelphi
these little powerless bones,1,2015,English,841,261,10903,2257,67064,1,1,dirgewithoutmusic
occulta proditione,1,2025,English,68881,441,8770,2040,278194,21,ni podatka,goldenhjp
A Step to the Right,3,2019,English,64006,1506,10522,3078,258341,14,14,CatsAreCool (Rachel500)
Love and Other Historical Accidents,12,2021,English,153841,2516,14203,7515,729682,13,13,PacificRimbaud
Their Beloved Prince,1,2024,English,135949,1639,9495,2402,252145,25,ni podatka,misteeirene
Operation: S.M.W.L.N.T.E.T.H.S.P,8,2017,English,8077,212,9095,1209,85025,1,1,XxTheDarkLordxX
His Darkest Devotion,4,2022,English,256847,3472,20733,5952,914090,45,45,Lomonaaeren
Business and Pleasure,11,2018,English,9609,277,8949,1821,105501,5,5,TheFeistyRogue
check this hand 'cause I'm marvelous,8,2014,English,7959,280,11224,1756,146676,1,1,lq_traintracks (lumosed_quill)
House of Snakes,2,2016,English,71812,661,9673,3264,177871,12,ni podatka,flitterflutterfly
Nyctophilia,7,2020,English,107373,1309,9728,2709,286143,20,20,red_leonne
Obliviate,10,2021,English,88661,2082,25409,3790,641595,28,28,JessalynMichele
A Season For Setting Fires,3,2022,English,95639,3673,15025,5617,655909,31,31,mightbewriting
"darkly, darkly, dawn glittered in the sky",7,2024,English,108126,2639,10103,4009,283147,31,ni podatka,cheshire_carroll
Evidence of Absence,12,2021,English,4263,115,9694,1285,104695,1,1,Lomonaaeren
A Black Mass Over Highway Ninety,11,2023,English,243539,1111,8731,4078,589030,21,21,greenvlvetcouch (roadsidehorror)
The Troublesome Thing About Time,11,2020,English,38914,1194,13698,4073,292022,9,9,LadyKenz347
The Boy Who Kept Dying,4,2022,English,40724,479,11147,3015,146843,17,17,NinjaPandaScholar
Do You Have a Boyfriend? Well You Do Now.,6,2018,English,1290,213,11564,1073,69545,1,1,HydraCarnival
Harry Potter and the Obnoxious Genius,8,2016,English,5202,233,9735,1730,107957,1,1,TheFeistyRogue
Stealing Harry,5,2004,English,99937,1543,24041,6457,841924,11,11,copperbadge
9 ½ Days,6,2022,English,69600,1354,8653,2921,154991,10,10,magpie_fngrl
uvidimsya zavtra,8,2020,English,6169,200,9190,2230,70341,2,2,TreacleTeacups
Legal Alien,6,2012,English,3150,108,13131,1784,107292,1,1,WhisperingDarkness
Draco Black and the Prisoner of Nurmengard,1,2022,English,323728,4783,16394,1322,704721,34,34,starbrigid
"While I Was Fearing It, It Came",3,2018,English,5788,171,15438,2496,117736,1,1,willowscribe
The Green Vial,6,2015,English,31240,322,14232,2504,175130,1,1,eidheann
Raising a Wizard,8,2017,English,28977,514,9881,1500,163454,10,10,a_dale
Invictus,5,2024,English,458391,5774,11363,2954,739062,107,107,greyana
"Ferocious Determination, Insufficient Deliberation, and a Slightly Wrong Destination",3,2012,English,9567,83,8140,1386,110830,1,1,Faith Wood (faithwood)
Unexpected Developments,12,2018,English,97115,619,9018,2769,359562,21,21,Slayer_of_Destiny
The Way Down,4,2012,English,65615,500,8459,2450,181241,9,9,lettered
you are a paradigm,7,2012,English,10013,447,15903,2823,248594,1,1,1electricpirate
for the best,1,2022,English,49105,1882,10293,2780,285687,19,19,HawthorneWhisperer
Green &amp; Gold II,7,2022,English,119553,1025,8459,1317,235647,31,31,JessalynMichele
"Dear Cousin, Love Regulus",9,2018,English,86570,1036,14374,4394,230192,7,7,LLAP115
Lord of Time,11,2023,English,494607,5211,23682,5936,1254089,107,107,DebsTheSlytherinSnapeFan
Who I Was With You,10,2021,English,62026,822,10001,3427,316766,10,10,Curly_Kay
Ghostly Request,3,2017,English,32465,537,8979,1932,216612,14,14,Genuka
Earthbound Spook,4,2010,English,57550,422,11788,2882,190168,8,8,bmouse (cest_what)
There's a Pure-Blood Custom For That,1,2015,English,105549,1115,11867,2926,323594,36,36,Lomonaaeren
"""Sorry, Aunt Petunia.""",1,2021,English,77208,2169,11376,2961,239300,24,24,Emily_Elizabeth_Fowl
Bruised Words,10,2017,English,16672,280,15956,2837,212525,1,1,starknjarvis
Instar,12,2021,English,2963,135,9690,1054,96001,1,1,Lomonaaeren
Nearly,2,2018,English,434936,1882,9704,2540,531889,44,44,gonattsaga
Friend,1,2014,English,7909,152,9321,1795,57719,1,1,esama
Used to the Silence,8,2025,English,74308,1758,11698,3588,287809,25,ni podatka,Lomonaaeren
Higher and Higher (Temptation),4,2016,English,28482,486,14762,3268,260844,1,1,birdsofshore
If Them's the Rules,1,2022,English,219715,4334,20764,5560,661993,42,83,MayMarlow
The Innkeeper,9,2021,English,71472,1508,8554,2809,260053,35,35,Lerya
Certain Dark Things,7,2025,English,981027,7261,13260,2598,813287,306,ni podatka,evejenson (rentachi)
On Punching Gods and Absentee Dads,4,2020,English,246843,11556,28014,10184,1049501,56,56,Enigmaris
Meet Me At Midnight,11,2024,English,114353,1423,10436,4153,508482,14,14,forawhile
Cacoethes,3,2021,English,121775,2065,14131,3707,462316,38,38,IneffableChaos
Hot for Teacher,5,2017,English,61722,2155,11182,3629,444458,26,26,MotherofBulls
Harry Potter and the Lack of Lamb Sauce,3,2019,English,356700,8122,27489,7139,1167586,99,99,imagitory
Aftershocks,3,2016,English,1447,92,12348,1286,258486,1,1,Lokifan
Amethyst,6,2017,English,18434,600,11663,1324,164651,2,2,geoffaree
invisible string,4,2024,English,16319,201,9118,1879,109084,2,2,moonysdustymarsbars
"You First, Loser",6,2014,English,6372,534,20062,3270,198874,1,1,zeitgeistic
Shadow Magic,8,2018,English,48243,769,19728,4275,321413,7,7,Lomonaaeren
What Happened to Draco Malfoy,9,2021,English,44662,871,15118,2766,333099,25,25,ghostlynimbus
words upon my skin,12,2020,English,13350,120,14221,2350,177765,1,1,rxgulus
Touched,1,2023,English,18608,1386,16786,2775,239293,14,14,lemonchase
The Binding,7,2020,English,175451,2601,13416,5951,771598,35,35,Curly_Kay
HP &amp; The Philosopher's Stone: The Time Jump Chronicles,12,2018,English,91132,1653,9443,1747,234127,29,29,Transgressions
In the Interest of Interhouse Cooperation,3,2014,English,11817,184,8826,1279,123765,1,1,firethesound_HP_archive
Hell is Ours to Carry,11,2017,English,3849,132,8637,859,89633,1,1,wynnebat
Enemies with Benefits,5,2017,English,39565,430,8261,1844,232736,16,16,DrusillaMaxima
Serpentine Summer,12,2018,English,13794,267,11973,887,105135,4,4,Lomonaaeren
Spellist,12,2015,English,2483,573,26257,5190,198852,1,1,esama
"The Problem with Eggnog, Uncommon Thoughts, and Sharing a Bed with Sirius Black",2,2008,English,3011,169,26918,3057,312645,1,1,xylodemon
Second Chances,10,2021,English,110457,1733,11454,3766,336134,66,66,JCapasso
Knowledge of the Gods,3,2025,English,64301,2888,11762,2891,323428,60,ni podatka,PreciousLadyAthena
Aural Gratification,10,2014,English,10988,552,12255,2248,165774,1,1,birdsofshore
To Catch A Thief,8,2023,English,73793,2736,12153,2851,391549,35,ni podatka,elvirakitties
Death is but the Next Great Adventure,8,2021,English,288894,2991,16538,4885,544031,61,ni podatka,TheObsidianQuill
Sirius Black Is Sick of Your Parenting Advice,12,2018,English,3881,167,11752,2158,87441,1,1,Lomonaaeren
and I Looked Back on a Broken World,9,2024,English,183678,2286,11891,3256,406702,52,52,raziella
Text Talk,12,2015,English,141250,3770,46315,10911,1158518,14,14,merlywhirls
The Wrong Sort,12,2020,English,289497,2164,9791,3141,326015,20,20,CaffeinatedFlumadiddle
Courting Day,4,2023,English,42877,1030,8645,1883,140287,27,27,wendymarlowe
Ties That Bind (Conjunctionis Ligavaris),5,2020,English,21086,347,8743,2139,155524,2,2,TattoosAndHighHeeledShoes
dirtynumbangelboy,12,2017,English,39400,1686,16745,4504,259399,7,7,magpie_fngrl
dead things,8,2018,English,12826,464,13048,3881,156214,1,1,EclipseWing
Eternal Hilarity,6,2020,English,56791,2624,9151,2603,216224,20,ni podatka,Luxis
Don't Fuck With Florists (They'll Fuck You Up),8,2016,English,13944,928,38747,8176,334268,1,1,MayMarlow
The Miseducation of Draco Malfoy,2,2017,English,37600,1156,11435,2935,176032,7,7,magpie_fngrl
Blends,10,2016,English,192277,1716,9960,3602,435554,22,22,rvltn909
knickers in a twist,2,2020,English,86461,743,15850,4189,499463,7,7,technicolourbeat
All Must Draw Near,2,2014,English,61080,663,8199,2201,187024,25,25,Saras_Girl
In Their Own Secret Tongues He Spoke,7,2019,English,10636,266,14006,719,107864,2,2,Lomonaaeren
Don't think about it and it will go away on its own,12,2024,English,174005,2073,12145,3567,389196,19,19,Gimlili
A Beautiful Lie,11,2021,English,65840,1669,8113,2512,185536,14,ni podatka,Panis_fluvium
Beastspeaker,8,2017,English,17623,216,10073,2385,79544,1,1,prosodiical
Metamorphosis,12,2023,English,173323,2572,16773,3722,482435,36,37,Nitraz
you belong to me (i belong to you),6,2025,English,126449,6911,35913,11991,938154,21,ni podatka,Child_OTKW
Spin the Wand,6,2014,English,2924,125,16497,1567,160417,1,1,WrittenSins
Ouroboros,4,2025,English,640492,7128,12367,5179,742092,48,ni podatka,NovusArs
Burning Red,8,2025,English,711226,5785,25577,9078,1316523,74,ni podatka,NoNameWriter
"THERMOS!, or, How a Muggle-Born Brought a New Age of Spell-Making to Hogwarts (Entirely by Accident)",5,2016,English,3018,260,9124,1568,88309,1,1,susieboo
Buried Memories,10,2022,English,229080,4142,17592,5987,668163,52,ni podatka,BellaBix
punch-drunk fingerprints,1,2016,English,1983,447,49898,4834,393216,1,1,tamerofdarkstars
The Debt of Time,11,2017,English,715940,7987,26685,12153,2590934,154,154,ShayaLonnie
Things We're All Too Young to Know,6,2022,English,208310,1636,10455,4839,531554,30,30,eevans
Unexpected Consequences,9,2021,English,52025,978,10667,3321,253990,11,ni podatka,Siebenschlaefer
The Heir of the House of Black,8,2025,English,564215,3487,14811,5021,1066530,87,ni podatka,ravenclawblues (ravenclaw_blues)
House Colours,3,2021,English,3631,43,9971,1215,70456,1,1,buttons_n_bose
What We Pretend We Can't See,2,2017,English,131086,3447,35657,13734,898219,14,14,gyzym
Five Weddings and a Potions Accident,12,2016,English,19675,376,13016,2870,147735,1,1,lauren3210
Power and Control,12,2018,English,5576,181,10513,1221,109070,1,1,temptresslove
The Dead Master,1,2019,English,91968,1310,8509,2816,150192,8,ni podatka,FalconLux
Presque Toujours Pur,1,2023,English,167827,1170,9514,4373,391639,38,38,ShayaLonnie
Strange Bedfellows,10,2016,English,30692,397,19408,4774,274454,1,1,orphan_account
The House of Lord Potter-Black,8,2025,English,755698,5221,20801,6402,1298205,51,ni podatka,StarLight_Massacre
"Five Times They Weren't, and One Time They Totally Were",11,2016,English,3466,180,9399,1623,79078,6,6,ni podatka
How Remus Got His Groove Back,10,2017,English,42766,1211,17087,4629,302454,14,14,RealityShowJunky
Two Weeks,10,2016,English,21951,492,22797,4241,285456,1,1,shiftylinguini
Ashes in the Wake of War,3,2023,English,169720,1344,11330,3532,277036,28,28,NinjaPandaScholar
Boredom and Secrets,2,2024,English,43593,3154,10686,2142,217362,61,61,XxXxDarkVampirexXxX
Normal Enough,1,2024,English,60612,1592,9231,3509,188963,19,ni podatka,EmpressOfMaladies
"BLOODY, SLUTTY, AND PATHETIC",5,2024,English,195969,7092,26376,10396,1483512,21,21,WhatMurdah
Tip of Your Tongue,4,2023,English,78540,2931,11452,2110,169317,11,11,Spork_in_the_Road
(honey) there is no right way,6,2017,English,24511,384,13190,2906,137438,1,1,sincere_lies
War Paint,7,2014,English,18876,281,9961,2263,134350,9,9,provocative_envy
More Marvellous-Cunning Than Mortal Man's Pondering,7,2020,English,25942,545,10922,577,101049,5,5,Lomonaaeren
Waiting to Divide,1,2013,English,22674,178,8119,1685,103569,1,1,emynn (orphan_account)
Unleashed,1,2023,English,64025,945,9387,2541,302773,21,ni podatka,Invernire_pandemonium
A Convenient Impracticality,12,2015,English,38540,906,23606,6233,382848,1,1,firethesound_HP_archive
Pythonicus,12,2020,English,44388,1253,24167,2484,205228,7,7,Lomonaaeren
Sweets and Studies,8,2021,English,96107,2870,8520,2211,211608,26,ni podatka,cheshire_carroll
To Save A Genius,5,2020,English,34567,406,8636,2559,144938,7,7,Slayer_of_Destiny
The Master of Death,9,2022,English,233981,3627,17759,5563,821806,53,ni podatka,Quine
Potter's Wheel,1,2014,English,6265,129,9635,1911,87025,1,1,esama
Reprise,3,2021,English,105797,1721,17545,5343,633608,36,36,Herald_of_Dreams
Here's Looking at You Kid,3,2023,English,140059,1499,9678,3284,277403,14,14,MesserMoon
Saved by Hufflepuff Friendship,8,2016,English,10585,172,15166,3607,161541,1,1,whitedandelions
Mental,12,2010,English,186678,2221,39089,9767,1214820,32,32,sara_holmes
How 'Potter' became 'Harry' because of a Seeker's game,11,2018,English,1644,157,13057,1066,110739,1,1,mfingenius
Murmuration,8,2020,English,6452,296,12592,2328,105416,3,3,TreacleTeacups
the golden king,2,2025,English,711610,8306,17727,4682,1067531,160,160,maladaptivewriting
Aparecium,7,2020,English,58469,1324,16056,4490,534797,14,14,LadyKenz347
the family potter,4,2017,English,9751,1064,19587,3930,197242,1,1,dirgewithoutmusic
You open always (petal by petal),12,2017,English,65214,919,11991,3092,236576,6,6,birdsofshore
Rivals don't treat each other like that,12,2021,English,2427,173,10914,1334,70764,1,1,everdeen6
Cherry Mint,7,2020,English,58081,1415,13672,3284,519981,27,27,dirtymudblood
Things Worth Knowing,12,2017,English,164523,1288,15351,4981,467308,10,10,Femme (femmequixotic)
The End Is The Beginning,4,2021,English,161299,1792,19281,4180,629385,33,33,Nitraz
Contradictions,1,2023,English,183073,1228,10462,5063,679396,17,17,ambpersand
Eclipse,3,2012,English,287239,1162,10344,3534,443593,20,20,Mijan
disguised as something else,3,2020,English,3118,305,14730,2919,115316,1,1,aloneintherain
Song of the Forgotten,7,2025,English,89407,3835,14124,4712,260529,25,ni podatka,May_May_0_0
Three and a Half Days,8,2025,English,82406,2456,9927,4005,278145,25,ni podatka,LyingInSpirals
The Breeding Ground,2,2025,English,3176981,859,8951,1384,4155906,2,2,megamatt09
After the war,8,2025,English,260933,2922,8838,2415,346942,66,ni podatka,Mandalia
In Evidence of Magical Theory,1,2017,English,43747,1165,35258,8143,606904,7,7,bixgirl1
"God of Mischief, Master of Death",4,2024,English,449158,7432,10613,3110,721846,130,130,CrazyArtChic
"Trouble with your tie, Potter?",12,2022,English,6725,245,11269,1456,100839,1,1,tenthousandyears
"Matchmaker, Matchmaker",4,2017,English,1948,110,9424,1291,82687,1,1,Watermelonsmellinfellon
Casualties of Politics,4,2025,English,185341,2067,8285,2706,243973,29,105,Lomonaaeren
A Shift In Perspective,3,2023,English,68269,857,9551,3001,202378,24,ni podatka,nobodyzhuman
Harry Potter gets smart and takes control - The Goblet,12,2021,English,465931,3620,13238,3993,707685,93,100,YoullNeverCatchMeAliveSaidHe
The Boyfriend,2,2022,English,29061,1185,8825,2700,143694,14,14,AverageFish
Evitative,2,2020,English,222453,8402,80849,21858,2692668,29,29,Vichan
Ligabus Filium,9,2017,English,41534,414,9944,2616,198971,12,12,Tessa Crowley (tessacrowley)
Regulus Black's Favourite Gryffindor,1,2023,English,7832,89,12055,1870,100816,1,1,MiriamMT
Now I Know In Part,4,2023,English,39825,724,9649,2762,168059,11,11,dodgerkedavra
Emancipation,10,2013,English,133741,646,9444,2886,343954,43,43,BadGirlgoesworse
A Good Teacher,6,2015,English,12989,417,8634,2126,70072,1,1,lecturience
History Repeats Itself,5,2025,English,188848,2407,14861,3737,495520,36,39,tragicomic_relief
"The Electric Fizzing Prick Pistols, or Whatever",8,2013,English,3816,518,41346,4249,359699,1,1,whitmans_kiss
The Wolf Pack,8,2013,English,13672,313,19600,3375,209797,1,1,dracogotgame
Ten out of Ten,7,2022,English,61559,2255,22315,7948,763723,16,16,morriganmercy
Second Chances,7,2022,English,118341,1254,11981,3348,370854,40,40,CrazyCatLady (Scribblesnpaws)
"Baby, I've been running",10,2022,English,72000,1072,12208,3568,259184,6,6,freakydeakymoonmagic
Reparatio,2,2016,English,17363,658,26250,5580,406918,1,1,astolat
pathological people pleaser,10,2023,English,114435,1760,18048,6238,551829,19,19,rweoutofthewoods
Dark Heritage,7,2025,English,882862,7092,18809,6151,1207769,100,ni podatka,Drops_of_Nightshade
Staying Strangers,5,2023,English,319368,3641,11284,2568,636242,53,ni podatka,3amAndCounting
Chills of the Living,4,2023,English,47872,629,8669,2175,141688,11,ni podatka,Tempest_Raining
When Pigs Fly,6,2023,English,51478,1298,12271,2360,269687,16,16,MoonlightEtherealAria
Of His Bones,5,2025,English,310617,3482,10492,3063,515800,38,38,MesserMoon
A Good Prisoner,6,2025,English,122861,6361,14955,5024,672550,33,33,greenflowerpot
"Hey, Potter",5,2013,English,16024,487,45588,6860,485482,1,1,SunseticMonster
Nothing Good Happens After 2AM,1,2022,English,8574,290,13121,2478,305856,2,2,LovesBitca8
My Name is Cameron Sage,9,2008,English,41891,345,10964,2494,153704,19,19,thesewarmstars
The Problem With Soulmarks Is,9,2024,English,141024,2192,13445,4894,321180,27,ni podatka,LadyAramisGrey
Thermodynamic Equilibrium,10,2019,English,5025,645,30983,5898,277191,2,2,DorthyAnn
The Venom Peddler,8,2019,English,114010,2195,12381,4957,294465,56,56,lightningfury
A Brief History of Dragons,5,2020,English,23488,852,9591,3314,152618,3,3,eyra
Brevem Conspectum,11,2014,English,11707,261,11035,1705,120991,1,1,lauren3210
Awakening,10,2020,English,54827,1974,10752,3571,308717,13,13,SweetShireen
A Plan of Deepest Subtlety and Cunning,7,2020,English,6747,204,11200,2114,115588,1,1,Lomonaaeren
Right Hand Red,1,2015,English,73173,2418,43073,11357,914270,3,3,lq_traintracks (lumosed_quill)
House Pet,7,2025,English,404374,6649,10472,4357,748274,56,65,NinaBinaBallerina
Music Beneath the Mountains,12,2018,English,7324,537,18794,2274,172289,2,2,Lomonaaeren
Strive,1,2020,English,42833,1289,13399,3447,270678,23,ni podatka,Mister-Tom-A-Dildo-Lover (Watermelonsmellinfellon)
The Untouchable,4,2020,English,74840,1987,26656,8120,448320,14,14,TreacleTeacups
The Lost Heir,8,2022,English,170812,1018,14812,4446,643966,26,26,RiddleMeThis1926
Harry Potter and the Secrets of Vipers,7,2019,English,148243,2411,10519,1794,348145,15,26,orphan_account
Future Histories,9,2024,English,6069,489,9461,1667,52912,1,1,thecouchsofa
Magic and Mystery,8,2021,English,209039,2345,26331,2622,727859,55,55,Allegory_for_Hatred
On a Pale Horse,3,2018,English,58137,700,8955,3498,207359,23,ni podatka,Hyliian
Wait and Hope,4,2020,English,94946,4193,37170,12927,1360128,12,12,mightbewriting
It's All Just Temporary with a Bit of Necromancy,5,2025,English,367160,2916,17837,6169,852500,52,ni podatka,TC_Hand
Open For Repairs,1,2015,English,34901,632,9973,2979,133156,1,1,FeelsForBreakfast
47 Days to Change (a translation),2,2021,English,200975,2663,13016,2571,482926,97,97,snow_owl01
Mortem Obire,1,2024,English,80522,1307,9644,3933,264408,14,ni podatka,thatdamnuchiha
Newts,4,2016,English,13926,353,18407,2799,261838,1,1,astolat
Snake Scales and Serpent Tails,8,2022,English,449036,6447,17658,4838,1022797,83,ni podatka,Ethril
Feather and Glass,8,2025,English,237378,3524,13563,4049,469920,53,ni podatka,Lomonaaeren
Completely Gone,2,2016,English,5416,79,8753,1340,80006,1,1,orphan_account
[Watching | Marauders Era Watch] War Children,8,2025,English,258766,3802,9685,2703,546245,29,ni podatka,x_manga_Bleach_x
Storm of Yesterday,1,2017,English,129507,2009,12375,3944,317415,68,68,ShayaLonnie
Draco Malfoy and Why in Merlin's Name is it ALWAYS Harry?!,11,2018,English,56942,2103,9196,537,152733,13,13,DracoWillHearAboutThis
The Games They Play,8,2020,English,233425,3202,20784,5969,717178,55,55,DebsTheSlytherinSnapeFan
Just a Few Changes (will Keep you Safe),9,2022,English,29846,1045,16468,5770,184034,4,4,Blueseabird2
trapped in a blue haze,8,2017,English,5610,343,29239,4177,325004,1,1,MourningElegance
The Lip-Lock Jinx,6,2016,English,20468,295,25571,4797,220297,1,1,cassisluna
Consuming Shadows,5,2025,English,452849,6037,24487,7361,991478,61,64,Child_OTKW
Who Shagged Harry Potter?,4,2012,English,6464,220,31537,3875,402023,1,1,Faith Wood (faithwood)
Severus Snape - The One Who Walks in the Shadows,7,2024,English,152076,2043,8583,2605,264054,21,ni podatka,Shinehiro
A Marauder's Plan,6,2016,English,865520,3040,15849,6971,1526793,87,87,CatsAreCool (Rachel500)
"familiar faces, worn out places",9,2019,English,7386,384,14171,2618,194127,1,1,LovesBitca8
(i wanna) cut to the feeling,10,2019,English,3736,83,8904,1320,63685,1,1,asterismal (asterisms)
"This Christmas, I Give You My Everything",12,2017,English,5915,298,10386,1769,127568,1,1,loveglowsinthedark
Doer of Good Deeds,8,2013,English,6257,149,13996,1716,141530,1,1,Lomonaaeren
Prized,7,2018,English,120217,1347,9919,2663,278897,49,49,Nahiel
The Dragon of Moria,5,2016,English,5200,470,15994,3626,161714,1,1,pristineungift
Dear Diary,9,2015,English,20427,940,19277,3855,193430,1,1,AWickedMemory (TeddyLaCroix)
Dudley Dursley's Most Unexpectedly Fortunate Flower,4,2016,English,14468,245,9338,2190,75985,1,1,aTasteofCaramell
Beginning and End,12,2020,English,241977,4727,14967,4894,1051381,48,48,mightbewriting
second chances,11,2023,English,34439,744,13613,3121,252727,10,10,introvertedhufflepuff
The Dark Guardian,5,2017,English,24802,367,11846,3433,154561,6,6,InTheShadows
Mind the Bump,3,2024,English,84050,1767,10686,2784,318407,28,28,Soap1
Namesake Necklace,1,2021,English,121123,2305,12646,3103,371800,25,25,WiCeBa
Harry Potter in the City of Angels,8,2019,English,23574,808,8129,2140,77923,6,6,BrilliantLady
Harry Potter and The Great Custody Battle,6,2025,English,65520,2029,12376,4307,371655,29,ni podatka,dajgen
Falling Apart,7,2023,English,216816,3384,11155,2841,367695,50,50,Zain
Dress up in You,7,2019,English,88408,1382,18924,4104,437903,19,19,MsKingBean89
The Potter-Malfoy Problem,12,2008,English,28939,272,13119,2351,197906,1,1,who_la_hoop
Proof That Tony Stark Has a Heart,4,2013,English,177588,1006,18409,6680,563501,36,36,orphan_account
Golden Age,7,2025,English,96594,837,10175,2622,282113,37,37,black_blade
"Movements, Contrived and Improvised",12,2021,English,14395,535,9311,2292,132092,2,2,HeyJude19
The Silver Envelope,6,2023,English,192646,2487,10723,4051,568022,70,70,sinflower81
My Beautiful Boy,4,2021,English,69609,1209,8229,1478,133507,13,13,alexmeg
Custodarium,1,2020,English,73172,947,13008,3607,325743,26,26,Tina48
"Shake it, Bake it, Brew it",5,2019,English,140693,969,10127,3283,326868,32,32,Blackkitten23
If stars died of old age,6,2017,English,5115,307,12385,2304,116439,1,1,DefNotForWork
Azoth,12,2013,English,88722,3477,38749,12569,878602,14,14,zeitgeistic
At the Crossroads There We’ll Meet,7,2014,English,24508,283,9056,1942,123686,1,1,firethesound_HP_archive
Green &amp; Gold,3,2022,English,144458,1112,15892,3100,459068,33,33,JessalynMichele
The Cadence of Part-time Poets,2,2023,English,979910,12212,43064,12345,3741998,108,108,motswolo
Reparations,7,2013,English,87376,762,13336,4164,367571,10,10,Saras_Girl
The Deathly Avenger,3,2024,English,31226,750,11369,3893,208603,10,ni podatka,Hockey_Lover31
It Was All Just a Game (Rewrite),10,2021,English,617182,2759,14879,4752,940487,83,83,write_me227
The Owl Who Came for Christmas,12,2015,English,17706,159,9668,1785,86648,1,1,dracogotgame
Harry Potter and the Interlude,7,2016,English,37416,395,9350,670,142015,10,10,BakenandEggs
Between Thought and Reality,8,2023,English,115833,3025,16654,5929,439396,22,ni podatka,Maeglin_Yedi
"there will come a time, you'll see",7,2018,English,10773,310,12432,3647,107174,1,1,aloneintherain
A Whole New World,9,2021,English,80393,630,9115,2417,212183,37,37,fuzzy_christmas_socks
Altered State,2,2025,English,56771,8784,11712,2733,570481,54,ni podatka,Ginnyruin
A Game of High Stakes,6,2023,English,263110,3245,9010,4148,679146,51,51,In_Dreams
Inventing Paradoxes,12,2021,English,62042,1297,10497,2762,178274,11,11,Ailora
Once a Fool,8,2014,English,7309,77,10626,1268,141190,1,1,Yulliah
"Hope Springs Eternal (But Love Springs in the Forest, Unannounced)",8,2012,English,12394,195,9853,1762,170171,1,1,lettered
"Hiding Scrawl, Licking Freckles, and Other Average Wizard Things",4,2015,English,3663,262,19315,1846,217710,1,1,tamerofdarkstars
"From Wiltshire, With Love",12,2021,English,352755,12006,14959,6920,1189799,86,86,MistressLynn
All the Young Dudes,11,2018,English,526969,44483,276686,49328,18155528,188,188,MsKingBean89
An Issue of Consequence,4,2014,English,20798,843,46505,7763,733646,5,5,Faith Wood (faithwood)
Not Your Heroes,7,2021,English,93614,1532,9010,2729,260583,55,55,Vemodalen
"good night, darling",4,2024,English,161886,1855,15961,3905,584538,56,56,purplemineralwater
Death's Chosen Child,4,2022,English,120382,1271,13449,3980,406295,13,13,MBlack93
Draco Malfoy and the Dark Lord's Diary,3,2018,English,29456,715,8967,550,144158,7,7,DracoWillHearAboutThis
The Anti-Heroine,5,2020,English,641976,3080,11373,3684,569322,85,ni podatka,cheshire_carroll
Harry Potter and the Welcome to the World of Grey,12,2020,English,456640,4937,26709,8950,1425604,30,30,sobsicles
Adagio,9,2013,English,6522,178,8509,1762,95391,1,1,lupinely (orphan_account)
Slip Into My Lover's Hands,7,2015,English,5933,341,16692,2411,270366,1,1,lq_traintracks (lumosed_quill)
Meet Your Match,3,2022,English,121611,2610,19772,8191,1009328,26,26,morriganmercy
Resurrection,5,2020,English,41982,1254,10211,1688,169258,9,9,Spork_in_the_Road
Tonsus,6,2020,English,43603,468,8654,2176,133876,5,5,TessaVance
Dangerous,5,2014,English,6342,310,40322,4593,506188,1,1,Faith Wood (faithwood)
Walking Dead Wizard,5,2025,English,585079,4604,10329,2802,668456,133,133,DebsTheSlytherinSnapeFan
How Like Hatred,11,2019,English,9117,285,8191,911,122057,3,3,Lomonaaeren
Don't Blame Me (It Was All a Blur Last Night),6,2015,English,18976,249,8196,1302,92664,1,1,nerakrose
Turned Tides,3,2024,English,143697,1878,10082,2957,416253,32,32,rsbarelle
Operation Walburga's Arbitrary No Kissing Ever Rule,9,2023,English,91327,1356,9299,2689,215498,11,11,courfee
Mine,2,2018,English,3800,216,9576,846,66168,1,1,Craftybadger1234
Chasing Dragons,7,2021,English,98930,920,14362,4710,294818,15,15,The_Sinking_Ship
the last son,9,2016,English,13051,548,12166,1771,141013,1,1,dirgewithoutmusic
"The Same, But Different",4,2020,English,90582,816,14231,4508,259594,25,25,SomewheresSword
Future's Past,5,2016,English,40945,973,15160,5527,366501,15,15,darkseraphina
blinding lights,8,2023,English,96285,1252,8936,2510,301217,26,26,introvertedhufflepuff
A Certain Mood,7,2025,English,196186,1847,8470,2865,279696,37,37,Rabenschnabel
The Art of Self-Fashioning,7,2017,English,283934,2735,10584,3105,357069,65,65,Lomonaaeren
it runs in the family,8,2021,English,13757,720,12053,3296,131229,3,3,justprompts
"Forever, preferably",11,2023,English,67690,1031,18103,5727,241993,8,8,JoWithTheFlow
You Send Me (Honest You Do),4,2017,English,37004,464,12477,2680,174183,2,2,firethesound_HP_archive
The Lost King,11,2024,English,114510,3431,8849,2879,366772,28,ni podatka,Metalduck
Hero of the Story,9,2020,English,364621,2252,8811,3057,424717,57,57,kimmy_writes (WickedlyAwesomeMe)
